;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;
customers_in_queue; 1194.93;1303.66;1261.75;1350.74;1265.7;1155.51;1062.66;1036.94;973.75;1188.31;1123.34;1192.19;1245.39;1325.89;1034.99;1259.26;1235.54;1206.86;1423.01;1346.68;1203.93;1175.17;1140.36;1362.74;1285.94;1151.6;1275.36;1053.87;1146.89;1330.48;1123.37;1152.61;1304.51;830.75;1356.42;1223.33;922.47;1137.52;1280.51;1153.51;1012.55;1176.81;1235.57;1267.91;1333.75;1114.62;1121.36;1194.6;1368.02;1151.78;1346.91;1170.0;1244.6;1218.3;1305.37;1281.31;1161.98;1402.76;1067.04;1149.6;1287.01;1237.13;1163.42;1152.66;1090.47;1342.57;1301.95;1263.79;1158.67;1272.91;1203.82;1003.79;981.16;1169.07;1340.23;1390.26;1336.38;1275.68;1410.6;1222.88;1056.57;1165.86;1378.76;1272.45;1269.99;1270.85;942.13;1329.46;1122.22;1282.32;1138.62;1382.51;1408.39;1154.86;1341.08;1234.59;1073.14;1309.72;1057.22;1195.8;
customers_in_system; 1232.91;1342.26;1301.46;1393.04;1304.34;1191.52;1096.58;1069.45;1005.13;1223.13;1157.51;1228.63;1284.68;1367.12;1068.36;1298.02;1273.87;1244.23;1465.58;1387.46;1239.86;1212.57;1176.72;1404.43;1326.38;1187.34;1314.83;1086.9;1182.14;1370.7;1158.76;1189.38;1343.62;859.2;1396.84;1261.11;952.54;1172.45;1320.95;1189.42;1044.9;1213.66;1273.86;1306.52;1374.68;1150.41;1157.19;1231.32;1409.97;1188.34;1388.5;1206.21;1283.99;1255.84;1344.15;1319.88;1197.94;1445.5;1100.47;1185.93;1326.6;1274.63;1200.31;1188.58;1123.68;1383.21;1340.81;1302.23;1194.15;1310.68;1241.24;1035.4;1012.75;1204.27;1380.38;1432.53;1376.78;1314.07;1453.54;1259.22;1090.76;1201.02;1419.76;1310.74;1309.11;1309.63;973.6;1370.24;1155.79;1322.16;1173.69;1424.92;1450.58;1190.28;1382.24;1272.38;1106.51;1349.43;1090.42;1232.75;
waiting_time; 3145.866132816836;3174.1568021405815;3368.7977345105137;3741.3389042000595;3199.8332399128685;2871.616160440936;2613.7746163627266;2424.413922772154;2302.6128542815973;2681.010230452416;2618.3153486689466;2909.7963240174827;3311.945591453192;3580.344850651704;2546.838438481474;3223.4196563972596;3171.9566123529203;3036.6071618305;3742.5885127518054;3487.369942447642;2830.5696561269856;3059.6788254522135;2922.011656254248;3633.6580288069963;3475.9228663438826;2828.1354558446897;3326.3673340074615;2489.5477675331;2755.151827220826;3405.973146909836;2787.0510146467445;2972.795007623815;3253.101394867266;1990.2650854506996;3428.365234802067;3093.5889995607326;2151.171623089254;2720.3948721059;3481.1596158788384;2850.9476181722653;2413.949119795773;2979.89570115711;3163.5699827728595;3189.8180526130845;3524.5193169484446;2856.521908546887;2855.1430283559334;2946.5785263232933;3669.557822070665;2943.9393876740255;3620.1640301505013;2888.8181912004343;3329.3413954913467;3058.771518925221;3201.8711134002847;3177.872991753649;2852.4018856983603;3776.954447235682;2538.417383955367;2917.2827106059535;3337.4339118156477;3045.0685789885647;2992.9926352080615;2850.7787177370546;2499.7491844166425;3475.136129306515;3218.326234513284;3171.9173244629724;2786.3169597383257;3066.5347337042617;3049.3501987661966;2314.640445366702;2330.042618673708;2744.1411836212314;3396.630820684224;3711.6057476002406;3442.2855963702673;3161.0678448408416;3809.701619835344;2881.5221046856855;2656.4012183879404;2737.4335805097585;3507.244739239258;3147.1728901406464;3277.050498186762;3222.355059923529;2325.3829737892597;3501.2163560276945;2539.8552937997188;3378.089057757505;2740.8846294948053;3739.335472712771;3683.561792181296;2778.590924268221;3564.6641510513236;3088.626461549653;2525.781766894076;3345.7707528763904;2507.374592461138;2984.0323966676906;
proceeding_time; 3183.6980699567125;3212.4199083837784;3408.2659484482842;3783.358604896483;3238.2754944193257;2907.4359461416757;2647.479561757541;2456.6255591071563;2333.696222170949;2715.3862898248153;2652.2294127004716;2945.956707451904;3350.8804125066135;3621.372228176098;2579.99481145038;3261.877880463642;3209.7866893340224;3073.6600196403965;3784.6280657843204;3527.7764650073914;2866.2918856149404;3096.815050749788;2958.1699445820896;3675.243654926883;3516.3185913857615;2863.5655706080393;3365.602060846018;2522.267954309865;2790.0526978852417;3445.868759805802;2822.167873323455;3009.185617694689;3291.987661691478;2018.4488420413422;3468.382981234276;3131.061552887386;2180.8817716574304;2755.0882829563598;3521.197487055307;2886.6707233003676;2445.9501962384325;3016.519319715588;3201.61559453089;3228.0884826979063;3565.3044465806306;2892.255482757475;2890.610178525775;2982.8427091002777;3711.316756714527;2980.166266110682;3661.5006244802307;2924.8131199267273;3368.4026673133562;3096.1692233318518;3240.283971502071;3215.8677751915566;2888.167851375487;3819.4184443054423;2571.6192368919033;2953.4277659272525;3376.842766553479;3082.2796905079495;3029.7595853167213;2886.4391447374805;2532.5285805881012;3514.9889887753197;3256.972446521753;3210.15436395865;2821.5951582410903;3104.0674036758546;3086.4487845654976;2345.813370416378;2361.454074562038;2778.975647902461;3436.5212647746544;3753.4872128916677;3482.4916414638697;3199.2188023783065;3852.439137901799;2917.545620458722;2690.412054657901;2772.3127721835895;3547.9629081097532;3185.3349399626577;3315.862094319051;3261.03935509416;2356.5514613144387;3541.759788911668;2572.7750200197042;3417.645651633259;2775.7358041220305;3781.4537283240766;3725.301724216938;2813.5427008718693;3605.722784340194;3125.9569076630073;2558.8413364508924;3385.2303228587434;2540.0044455243315;3020.807471528086;
rejected_counter; 
buf_gt; 1682.6;1624.67;1579.29;1395.34;1217.94;1224.83;1410.37;1380.12;1261.39;1264.36;1309.73;1700.25;1475.88;1424.43;1334.97;1471.06;1365.51;1534.43;1592.96;1517.94;1435.65;1209.29;1350.09;1587.66;1552.36;1305.35;1235.0;1339.46;1449.43;1559.08;1182.61;1221.9;1371.67;1508.01;1490.24;1363.37;1351.09;1367.51;1432.36;1532.82;1566.66;1317.27;1411.31;1260.37;1669.06;1595.94;1475.69;1298.96;1453.37;1095.87;1672.17;1549.05;1416.47;1274.93;1137.12;1496.39;1665.72;1501.72;1444.11;1342.96;1072.78;1186.32;1623.25;1663.94;1529.05;1398.66;1470.49;1246.65;1566.75;1566.26;1488.77;1405.71;1340.99;1156.64;1628.22;1520.8;1349.27;1478.02;1458.79;1251.09;1762.11;1449.63;1440.46;1195.32;1245.58;
