;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;
customers_in_queue; 1089.94;1211.78;1136.8;1291.36;1167.56;1083.08;940.34;885.38;853.97;1045.96;986.4;1090.26;1177.27;1263.95;918.45;1158.03;1138.06;1082.88;1359.04;1246.48;1081.78;1089.67;1040.28;1285.01;1213.41;1048.14;1166.54;937.21;1035.95;1243.56;1006.3;1016.6;1177.43;701.77;1264.08;1125.09;762.25;994.84;1233.07;1032.32;872.57;1090.32;1137.86;1160.21;1259.51;1007.61;1008.62;1090.59;1291.07;1046.93;1273.42;1063.74;1165.65;1097.71;1211.02;1184.57;1051.89;1339.64;941.16;1048.7;1205.99;1154.36;1064.31;1052.28;977.23;1255.03;1196.55;1156.49;1004.94;1151.13;1130.44;856.38;850.11;1019.4;1236.67;1333.69;1255.26;1170.34;1345.77;1088.33;956.78;1032.44;1280.61;1159.55;1186.42;1166.94;838.7;1261.75;986.98;1193.78;1022.96;1318.35;1340.26;1018.93;1271.92;1135.08;945.94;1213.07;929.65;1070.46;
customers_in_system; 1125.0;1247.55;1172.1;1331.15;1203.33;1117.05;971.16;914.17;882.63;1076.06;1016.43;1123.48;1214.26;1303.12;948.8;1194.4;1172.85;1116.35;1399.09;1284.27;1113.67;1124.09;1074.01;1324.19;1251.42;1080.69;1202.85;966.42;1067.97;1280.37;1038.31;1049.42;1212.87;727.24;1301.22;1160.0;787.94;1025.69;1271.91;1064.63;901.14;1124.77;1172.99;1194.97;1298.02;1040.17;1041.38;1123.82;1330.16;1080.65;1312.15;1097.29;1202.06;1131.76;1247.27;1220.19;1084.27;1379.83;970.78;1082.61;1243.15;1189.64;1098.69;1085.3;1006.96;1293.69;1232.19;1192.33;1036.05;1185.61;1165.86;884.28;878.63;1050.02;1273.19;1373.96;1293.42;1205.84;1386.6;1120.49;988.37;1064.05;1317.75;1194.68;1223.24;1202.52;866.85;1300.22;1016.92;1230.53;1054.67;1358.77;1379.59;1050.33;1311.15;1170.1;976.2;1249.54;958.93;1103.96;
waiting_time; 2764.252438631173;2804.7527456294833;2771.1609572397665;3367.4212001120472;2822.63286339104;2612.2482366140284;2246.330315994954;2003.7011528274313;2004.1541576408554;2130.2925863591868;2131.7718908524525;2503.126655744669;2993.7351400743064;3285.733473914742;2192.55309559259;2916.488987215378;2701.6085251371446;2538.020836973679;3376.302211650776;3078.301926510718;2339.355918332606;2665.365249731231;2590.761341727985;3277.116475198303;3133.3686563698393;2431.709523494753;2903.0153902700536;2048.307055468557;2361.374366203812;2938.5193911856068;2370.5655804768503;2471.9322735935916;2774.1232641866504;1677.9359921454309;2980.8524047189803;2721.1973407764144;1679.2512195521624;2234.34680937104;3252.848427957608;2404.6100508676304;1983.467901228181;2673.3193239531074;2745.906573744964;2684.9994299888094;3183.8451093226327;2448.9040989103537;2473.941492592346;2503.835041061691;3258.2114447180593;2585.2341918756124;3207.2770136181243;2559.8509721499267;2915.5789057721795;2613.5862371518933;2872.8696487988764;2791.9443735458017;2405.4791095526043;3401.8526045844796;2096.4858283222684;2617.784675531647;3008.6858653665577;2761.5309451329454;2676.797162767176;2488.2111780399955;2096.5452006282403;3214.079627052637;2797.0555477385456;2840.6706668899624;2258.3652360483957;2650.7726705238574;2792.1551256465045;1902.212363428934;1987.7765095116702;2197.820098331499;2904.885393141873;3422.710978113718;3138.3176120667877;2787.0850914920607;3501.0953527819483;2370.3355163130063;2341.9987611864253;2312.415199092197;2977.450258668362;2739.425849972902;2971.2204092420816;2800.0362629581123;1942.7422641456133;3176.6716005293765;2122.048368957061;2953.1383745647604;2332.264962843939;3451.624154615987;3272.8778722683496;2293.8396096565452;3296.492586405143;2731.8704934087377;2165.457969106888;2908.0801846173044;2050.072346810362;2550.920588377998;
proceeding_time; 2799.164375771049;2840.1858518726817;2806.229171177535;3406.930900808474;2858.205117897495;2646.0280223147684;2276.965261389769;2032.1927891624332;2032.5675255302108;2159.9486457315875;2161.5859548839767;2536.067039179091;3030.399961127729;3324.7408514391373;2222.6894685614952;2952.5972112817603;2736.0486021182487;2571.2436947835768;3415.911764683288;3115.8384490704684;2371.038147820559;2699.5214750288037;2624.289630055822;3316.192101318188;3171.3343814117165;2463.989638258099;2939.0901171086084;2077.207242245321;2393.045236868228;2975.045004081573;2402.30243915356;2504.4228836644684;2809.3695310108583;1703.1397487360723;3017.6401511511917;2755.839894103069;1704.6213681203412;2264.9602202215015;3291.356299134079;2436.753155995732;2011.688977670838;2707.542942511586;2780.7921855029945;2719.4598600736294;3222.2202389548206;2481.427673120943;2506.3986427621912;2536.669223838676;3297.1103793619222;2618.621070312272;3245.753607947855;2593.2259008762176;2951.70017759419;2647.4939415585227;2908.8025069006644;2827.0591569837084;2437.6650752297305;3441.8066016542407;2125.9376812588034;2651.5097308529444;3045.704720104387;2796.5620566523303;2711.0741128758386;2521.0016050404215;2125.8445967997004;3252.252486521443;2832.4817597470164;2876.3177063856447;2289.2734345511594;2685.035340495451;2827.2537114458078;1929.7052884786099;2016.1379654000016;2228.1645626127297;2941.195837232307;3462.7724434051443;3176.28365716039;2822.346049029528;3541.8128708484;2402.1990320860455;2373.449597456388;2343.774390766028;3014.3484275388573;2774.427899794915;3007.732005374371;2835.520558128742;1970.6207516707925;3214.935033413346;2151.638095177046;2989.634968440521;2363.7561374711645;3491.8624102272947;3311.937804303992;2324.9813862601936;3335.6612196940137;2766.5009395220904;2195.427538663703;2944.3897545996565;2078.8921998735545;2584.2856632383914;
rejected_counter; 
buf_gt; 1660.82;1489.51;1513.79;1282.8;1117.43;1350.13;1187.57;1156.23;1054.83;1454.85;1661.19;1276.7;1277.66;1183.04;1478.8;1726.1;1380.37;1293.52;1146.61;1414.39;1690.46;1461.71;1140.86;1118.37;1291.39;1476.45;1441.1;979.59;1314.37;1352.7;1277.72;1392.88;1166.9;1197.38;1503.69;1433.14;1408.56;1105.71;1239.8;1612.46;1449.57;1451.31;1150.84;1218.33;1604.53;1505.05;1327.73;1454.53;1029.54;1414.57;1551.07;1387.84;1213.5;1052.58;1401.79;1602.39;1396.79;1351.94;1252.13;938.65;1404.38;1439.12;1514.02;1351.76;1219.77;1504.94;1486.66;1311.85;1395.89;1255.33;1226.16;1418.47;1485.03;1255.23;1315.68;1087.81;1480.0;1678.19;1566.8;1362.09;1068.52;1249.48;
