;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;
customers_in_queue; 20.54;46.88;39.12;109.72;34.38;41.94;15.32;10.82;55.34;8.26;21.94;19.76;69.8;72.5;36.26;29.3;23.78;3.84;128.06;29.88;31.38;8.94;26.56;20.5;37.58;62.42;11.26;37.92;18.7;20.54;10.4;11.02;18.72;22.24;40.14;26.76;12.3;15.2;144.04;16.22;3.46;28.48;19.98;15.78;52.78;6.96;17.14;15.06;65.22;25.1;
customers_in_system; 22.74;49.08;41.32;115.54;37.22;45.72;16.64;12.04;59.54;9.0;23.84;21.14;73.2;77.38;40.2;31.48;25.84;4.52;134.56;32.94;33.36;10.06;28.8;22.06;39.64;66.32;12.68;40.8;20.4;21.64;11.74;12.1;20.58;24.98;42.82;29.26;13.46;17.02;153.5;18.2;4.22;30.18;22.18;16.98;55.52;7.76;18.66;16.72;68.66;26.96;
waiting_time; 26.777464999467544;54.741315904925735;45.289756841781475;148.44044224237962;45.24396812721254;62.988174164249294;17.29713340137439;13.285398645684511;77.82228533786677;8.95825596798283;26.64161734528796;22.069013269656423;91.29758598876316;98.86270318898082;60.968065799103776;34.86294768967598;28.193503453755756;4.5757029648070695;168.9757575104843;44.07872694700896;36.13692800761704;10.419800617106354;34.048162410442075;23.21885000554466;43.28680441964831;79.65370751446684;14.122724351755705;50.270244552271485;21.690071732960213;22.648521904263784;12.822115468012287;12.637532748394278;23.244080513702137;35.52391644088819;48.3360775800737;35.107776637045546;14.330326470165502;20.547291539605503;254.8803638759143;20.840268956623735;4.261348873018381;32.91450297662621;26.980040968063346;17.67423375257259;63.30690345725618;7.920016169356958;20.13444386297868;18.34016492980288;80.92722319318653;31.75551358666307;
proceeding_time; 29.19560058147392;56.97257801580568;47.4764740266855;154.21691498159245;48.07766888763026;66.78836911896273;18.75244395600519;14.650954900341388;81.887734804931;9.79214238751343;28.620360076456876;23.361881447505958;94.77364813164365;103.7573961974662;64.92921733304907;37.00745951519779;30.29031973626463;5.564459155434301;175.39449995828411;47.16099709301732;37.98415430014255;11.651760694701313;36.374326120205296;24.86422566176865;45.47789250063701;83.50206828953289;15.849999591402899;53.14038869740929;23.364509996509668;23.961184051427637;14.188596287390649;13.86038496335666;25.157857409385066;38.313383668029076;51.031911128492595;37.76002611184441;15.574482750918394;22.53612126410067;264.1720039275029;22.866859861440226;5.128204103176063;34.83692074127383;29.225232073550092;18.96433280834373;66.19555983282812;9.144806776883776;21.625427586184465;20.014115287313118;84.39038379944837;33.72051077408527;
rejected_counter; 
buf_gt; 

;0;
customers_in_queue; 33.204800000000006;
customers_in_system; 35.624;
waiting_time; 43.9869955461295;
proceeding_time; 46.47097502729091;
rejected_counter; NaN;
buf_gt; 
