;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;
customers_in_queue; 922.46;1033.13;969.5;1170.51;1011.94;905.46;737.34;706.03;765.92;774.89;769.44;908.79;1046.67;1158.33;745.82;963.25;974.6;879.32;1225.65;1080.72;871.66;934.25;870.24;1144.42;1069.2;888.29;978.26;744.26;843.81;1047.23;806.71;777.76;1012.17;568.43;1095.06;977.55;636.57;799.46;1146.55;834.93;668.96;937.43;985.11;935.53;1104.84;837.76;809.2;906.47;1151.21;885.71;1120.25;929.4;1023.13;930.75;1059.56;1011.36;855.39;1213.56;776.69;899.81;1060.88;1017.48;899.24;876.12;805.8;1158.07;1005.14;1004.08;781.55;955.07;1013.46;627.75;649.91;797.26;1052.93;1226.81;1120.65;1011.55;1223.72;892.15;770.36;824.37;1111.83;979.25;1043.44;987.87;654.92;1137.4;811.19;1042.74;837.77;1203.76;1207.44;820.73;1158.16;960.19;734.73;1038.31;719.41;900.04;
customers_in_system; 953.03;1062.41;999.43;1205.99;1042.82;934.69;762.94;729.48;791.36;797.34;793.76;936.04;1078.91;1193.97;771.78;993.23;1003.99;906.79;1261.63;1113.46;897.48;963.66;899.1;1179.27;1102.3;916.76;1008.53;767.52;870.62;1076.92;832.73;804.1;1043.37;589.92;1127.41;1008.05;657.86;824.97;1182.04;861.33;691.54;967.45;1015.5;962.4;1137.85;865.9;835.66;934.15;1185.31;914.06;1153.69;958.92;1054.56;960.85;1091.58;1041.66;881.71;1249.05;801.3;929.64;1093.27;1049.12;928.79;904.0;829.83;1193.87;1034.64;1035.75;806.51;983.88;1045.17;649.23;672.89;821.87;1083.83;1263.16;1155.14;1043.16;1259.81;917.97;796.6;850.78;1143.08;1009.35;1075.86;1018.55;677.57;1171.77;836.92;1074.99;864.46;1240.01;1242.39;846.39;1193.98;990.69;758.12;1069.54;742.5;928.45;
waiting_time; 2221.7296149884023;2046.0359847776585;2127.4116644682417;2784.3883599653705;2228.6722358546554;2057.9650302358486;1679.1098153819992;1451.470532316383;1656.6747612367021;1365.826512870471;1535.902794491628;1835.5338752899797;2387.3210544428307;2811.0845126864756;1717.5712186035275;2135.4078719122376;2064.301713110856;1855.1236288789792;2837.2217098157253;2442.9752332825124;1688.2663553419716;2070.741439593637;2019.031753242597;2706.9672191838154;2496.6049730797677;1970.0463029115238;2163.395484041039;1442.8458686943218;1784.7719311754583;2092.8364649785594;1706.5731901936929;1744.1677168765561;2269.6163797189556;1283.3702549823229;2390.9943545805118;2190.7312428025507;1256.2106438744734;1661.3133714796104;2800.179781422225;1748.364105359906;1369.5392036155233;2142.8220286131077;2176.3208920317993;1797.4817256150166;2476.4647632796136;1947.2539134004912;1757.1489329863703;1875.425898959017;2608.640815797052;1951.0721988782595;2522.3886527308327;2084.9556070657454;2293.938089573569;2155.8134936182523;2358.277207796533;2157.9633431993834;1735.3378159763452;2772.4662001658144;1569.66202172991;2133.3379504078;2405.80639962559;2321.938222040244;2099.49688089396;1900.9652785448984;1510.9885609809016;2835.8387899628397;2071.941069780653;2332.21957093495;1600.1190298985086;1997.7358985565174;2333.780003780357;1260.9496779618346;1414.1396609082758;1569.4649561819438;2227.119680571291;2888.923028969513;2667.797638227656;2320.4105025774315;2851.654907692951;1691.1977699203874;1743.7777425751503;1747.5645633962567;2267.946124383535;2143.8174496933348;2417.5202610009474;2210.3716013490825;1376.0091672354288;2641.893674698839;1681.553494219296;2392.070569243528;1781.135518425828;2880.4152911213528;2704.0680057467703;1677.4174186370853;2841.6533119948454;2195.3405465072137;1444.3883061282384;2270.572570852163;1415.3219373924;1960.7942412285056;
proceeding_time; 2252.1515521282777;2075.0090910208564;2157.1098784060123;2819.5880606617934;2259.384490361114;2087.034815936591;1704.5247607768124;1474.6621686513838;1681.9281291260559;1387.8625722428717;1560.0068585231552;1862.544258724401;2419.255875496254;2846.5618902108686;1743.3975915724327;2165.1260959786196;2093.4517900919577;1882.3664866888794;2872.97126284824;2475.4617558422633;1713.878584829927;2099.917664891209;2047.7000415704367;2741.712845303699;2529.660698121646;1998.2464176748724;2193.4602108795943;1465.796055471087;1811.2328018398728;2122.2420778745254;1732.3200488704033;1770.1783269474327;2300.642646543163;1304.6840115729647;2423.0321010127213;2220.9937961292035;1277.2407924426495;1686.676782330071;2835.4476525986956;1774.5972104880066;1391.8102800581823;2172.6656471715864;2206.51650378983;1824.0521556998376;2509.3398929118;1975.377487611082;1783.3960831562144;1902.760081736004;2642.599750440915;1979.1390773149178;2555.6052470605628;2114.3005357920388;2325.0793613955784;2185.7811980248825;2390.0200658983194;2187.9081266372928;1761.49378165347;2807.7201972355742;1594.113874666444;2162.9830057290983;2438.05525436342;2353.3593335596283;2128.9638310026203;1928.6357055453236;1534.5879571523622;2871.3016494316457;2101.2772817891246;2363.696610430629;1624.8772284012741;2026.338568528112;2365.2585895796606;1282.0326030115111;1436.961116796607;1593.8294204631745;2257.8501246617216;2925.104494260943;2702.1436833212583;2351.8214601148984;2887.662425759404;1716.7412856934257;1769.9185788451132;1773.743755070089;2298.9842932540287;2173.8094995153456;2449.741857133237;2240.9558965197157;1398.3876547606073;2676.077107582811;1707.0232204392814;2424.0871631192877;1807.6566930530555;2916.523546732661;2738.787937782412;1702.9091952407348;2877.441945283715;2225.6009926205693;1467.4878756850562;2301.6721408345134;1437.9917904555925;1989.0993160889016;
rejected_counter; 
buf_gt; 1450.26;1263.77;1342.83;1096.94;1079.75;1140.16;919.74;804.83;1136.67;1343.9;1343.17;867.73;1331.01;1258.27;1363.55;1193.92;916.11;1259.93;1458.0;1269.88;979.97;1155.84;1210.45;1183.44;922.87;1237.49;1049.34;1182.23;1048.43;1203.54;1286.29;926.57;1190.51;1242.2;1064.84;1168.84;1117.98;1246.14;1301.31;976.77;1364.25;1396.4;1197.7;1149.71;1055.03;1383.74;1264.13;1099.71;1111.58;1366.13;1240.07;965.61;1223.42;1033.61;1261.94;1222.19;1188.01;769.26;1115.19;1195.72;1361.75;1195.89;1043.31;1510.03;1156.24;1019.24;1170.36;1006.16;1426.44;1123.13;1264.2;860.77;1321.67;1426.66;1429.56;967.96;1210.93;1186.79;1282.36;
